transaction_id,date,description,amount,type,balance
B0047,2023-01-01,BP GAS #1775,46.48,DEBIT,4953.52
B0092,2023-01-01,BP GAS #4099,51.53,DEBIT,4901.99
B0015,2023-01-02,CAFE #6311,108.21,DEBIT,4793.78
B0084,2023-01-02,TRADER JOES,137.35,DEBIT,4656.43
B0142,2023-01-04,KROGER #6864,198.14,DEBIT,4458.29
B0251,2023-01-09,KROGER #5496,158.43,DEBIT,4299.86
B0017,2023-01-10,bp gas #7420,72.16,DEBIT,4227.7
B0110,2023-01-12,ONLINE PMT WATER,147.29,DEBIT,4080.41
B0124,2023-01-14,AMAZON.COM,19.24,DEBIT,4061.17
B0184,2023-01-14,WHOLE FOODS #3931,147.3,DEBIT,3913.87
B0105,2023-01-15,AUTO INS,247.31,DEBIT,3666.56
B0021,2023-01-17,HEALTH INS PMT,171.26,DEBIT,3495.3
B0120,2023-01-17,ONLINE PMT ELEC CO,142.99,DEBIT,3352.31
B0037,2023-01-19,CHEVRON #9838,58.3,DEBIT,3294.01
B0220,2023-01-20,MONTHLY FEE,20.45,DEBIT,3273.56
B0038,2023-01-21,ONLINE TRANSFER,499.15,DEBIT,2774.41
B0175,2023-01-22,HEALTH INS PMT,430.01,DEBIT,2344.4
B0282,2023-01-23,EBAY PURCHASE,290.54,DEBIT,2053.86
B0025,2023-01-26,DIRECT DEP PAYROLL,4437.99,CREDIT,6491.85
B0028,2023-01-26,ATM WD 3734,153.5,DEBIT,6338.35
B0023,2023-01-28,SHELL #3558,37.42,DEBIT,6300.93
B0165,2023-01-28,RESTAURANT #5737,72.69,DEBIT,6228.24
B0029,2023-02-04,ONLINE ORDER #4005,130.08,DEBIT,6098.16
B0018,2023-02-05,NETFLIX,15.13,DEBIT,6083.03
B0042,2023-02-05,GYM MEMBERSHIP,24.04,DEBIT,6058.99
B0063,2023-02-05,AMAZON.COM,229.96,DEBIT,5829.03
B0032,2023-02-07,ACH CREDIT SALARY,3511.77,CREDIT,9340.8
B0050,2023-02-07,ONLINE TRANSFER,887.44,DEBIT,8453.36
B0102,2023-02-08,KROGER #9110,205.21,DEBIT,8248.15
B0265,2023-02-08,KROGER #8022,169.06,DEBIT,8079.09
B0230,2023-02-09,CAFE #2648,35.66,DEBIT,8043.43
B0178,2023-02-12,NETFLIX,13.15,DEBIT,8030.28
B0153,2023-02-13,BISTRO #4304,86.38,DEBIT,7943.9
B0002,2023-02-14,CHEVRON #1860,36.27,DEBIT,7907.63
B0186,2023-02-14,DINER #1197,116.92,DEBIT,7790.71
B0189,2023-02-14,ONLINE ORDER #7287,103.15,DEBIT,7687.56
B0260,2023-02-17,ATM WITHDRAWAL #9754,126.19,DEBIT,7561.37
B0083,2023-02-20,MONTHLY FEE,25.64,DEBIT,7535.73
B0159,2023-02-21,XFER TO SAVINGS,1357.67,DEBIT,6178.06
B0034,2023-02-24,TRADER JOES,100.83,DEBIT,6077.23
B0198,2023-02-24,EBAY PURCHASE,83.9,DEBIT,5993.33
B0126,2023-02-25,AMAZON.COM,158.59,DEBIT,5834.74
B0207,2023-02-26,CHECK #3385,625.33,DEBIT,5209.41
B0001,2023-02-27,AMAZON.COM,226.34,DEBIT,4983.07
B0238,2023-02-27,INSURANCE PMT,392.84,DEBIT,4590.23
B0065,2023-02-28,ONLINE TRANSFER,1932.97,DEBIT,2657.26
B0291,2023-02-28,AMAZON.COM,115.32,DEBIT,2541.94
B0231,2023-03-01,RESTAURANT #6539,44.51,DEBIT,2497.43
B0122,2023-03-06,SAFEWAY #7019,59.07,DEBIT,2438.36
B0125,2023-03-06,ATM WITHDRAWAL #7374,137.87,DEBIT,2300.49
B0157,2023-03-07,RESTAURANT #7585,91.77,DEBIT,2208.72
B0036,2023-03-08,XFER TO SAVINGS,407.01,DEBIT,1801.71
